url,title,members,type,city,category,note
https://t.me/workinpolandi,Работа в Польше 🇵🇱,14873,channel,Poland-wide,загальний/міський,jobs
https://t.me/polsha_segodnya,Польша Сегодня,14722,channel,Poland-wide,загальний/міський,RU news (poland2day)
https://t.me/polskionlinepro,polski.online – Вчимо польську разом,14563,channel,Poland-wide,загальний/міський,Polish-language learning; /s keyword hits:40
https://t.me/mojapolskaszkola,MojaPolska,13949,channel,Poland-wide,загальний/міський,Polish-language school for Ukrainians
https://t.me/home_poznan,Аренда жилья Познань,9782,channel,Poznan,загальний/міський,housing/rent
https://t.me/krakow_polsha,Краков объявления 🗯| Польша,8294,group,Kraków,загальний/міський,classifieds (Bomba Poland network)
https://t.me/home_wroclaw,Аренда жилья Вроцлав,7935,channel,Wroclaw,загальний/міський,housing/rent
https://t.me/rabota_v_polska1,Работа в Польше и Европе | Легализация,7312,group,Poland-wide,загальний/міський,jobs
https://t.me/Polsha01,Польша Чат 🇵🇱🇺🇦,7255,group,Poland-wide,загальний/міський,BatyaChatov flagship
https://t.me/odessapoland,Украинцы в Польше 🇵🇱,7094,group,Poland-wide,загальний/міський,large RU diaspora chat
https://t.me/warszawa_my,Польша Объявления | Чат,6440,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/naym_poland,🇺🇦🇵🇱 Українці в Польщі 🇪🇺| Нумо Спільно,6195,6196,group,загальний/міський,Poland-wide | community chat
https://t.me/szczecinpomocukraincamreklama,Польша🇵🇱Украина🇺🇦 г. ЩЕЦИН Szczecin 🇵🇱Помощь🇺🇦Работа🇺🇦🇺🇦только Щецин,5893,group,Szczecin,загальний/міський,jobs
https://t.me/home_Bydgoszcz,Аренда жилья Быдгощ,5874,channel,Bydgoszcz,загальний/міський,housing
https://t.me/your_poland,"Твоя Польша 🇵🇱 Жизнь, Работа, Бизнес",5862,group,Poland-wide,загальний/міський,jobs
https://t.me/ukrazom,УКРАЇНЦІ РАЗОМ Новини,5655,channel,Poland-wide,загальний/міський,NGO news channel
https://t.me/wiaranadzieja,Українці у Варшаві,5485,group,Warsaw,загальний/міський,Polish-language learning
https://t.me/home_lublin,Аренда жилья Люблин,5367,channel,Lublin,загальний/міський,housing/rent
https://t.me/home_ZielonaGora,Аренда жилья Зелёна-Гура,5344,channel,Zielona Góra,загальний/міський,housing rental channel (RU)
https://t.me/polcab_info,Украинцы в Польше🇺🇦🇵🇱,4536,group,Poland-wide,загальний/міський,community chat
https://t.me/UkraineLublin,Наші в Любліні🇺🇦,4452,channel,Lublin,загальний/міський,"UA city channel, hashtag rubrics (праця/лікар/житло)"
https://t.me/obyavlenia_polska,ДОСКА ОБЪЯВЛЕНИЙ ПОЛЬША | TABLICA OGŁOSZEŃ POLSKA,4435,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/home_sosnowiec,Аренда жилья Сосновец,4332,channel,Sosnowiec,загальний/міський,housing/rent
https://t.me/trojmiast0,Aktualności Trójmiasto: Гданьск/Гдыня/Сопот Гданськ/Гдиня Польша/Польща,4298,channel,Tricity,загальний/міський,news channel; evid:1
https://t.me/jobinukraine,РОБОТА В ПОЛЬЩІ,4226,group,Poland-wide,загальний/міський,jobs
https://t.me/WarszawaChatik,Варшава Чат 🇵🇱🇺🇦,3993,group,Warsaw,загальний/міський,community chat
https://t.me/avtopolska777,"✌️ОБЬЯВЛЕНИЯ,УСЛУГИ, ПРОДАЖА, РАБОТА,ПОЛЬША",3903,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/home_Rzeszow,Аренда жилья Жешув,3844,channel,Rzeszow,загальний/міський,classifieds/barakholka
https://t.me/home_opole,Аренда жилья Ополе,3724,channel,Opole,загальний/міський,housing rental channel (RU) - only verified Opole-specific community found
https://t.me/home_BielskoBiala,Аренда жилья Бельско-Бяла,3650,channel,Bielsko-Biała,загальний/міський,rentals audience
https://t.me/doska_obyavleniy_polsha,БАРАХОЛКА | ПОЛЬЩА | ОГОЛОШЕННЯ,3643,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/home_szczecin,Аренда жилья Щецин,3604,channel,Szczecin,загальний/міський,housing/rent
https://t.me/home_tychy,Аренда жилья Тыхы,3484,channel,Katowice/Silesia,загальний/міський,housing/rent
https://t.me/polanddok,ПОЛЬША | ДОСКА ОБЪЯВЛЕНИЙ,3324,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/jobs_for_ua_in_pl,Jobs_for_UA_in_PL Робота для українців у Польщі,3230,group,Poland-wide,загальний/міський,jobs
https://t.me/home_gliwice,Аренда жилья Гливице,3102,channel,Gliwice,загальний/міський,housing/rent
https://t.me/gdansk_pasport,ДП «Документ» Гданьск/Гданськ/Ґданськ/Gdańsk Польша/Польща/Polska/Poland,3094,channel,Gdańsk,загальний/міський,UA documents-service channel; evid:2
https://t.me/pl_info_chat,ЧАТ - Польща,2938,group,Poland-wide,загальний/міський,community chat
https://t.me/ukrainians_in_warszawa,"Українці у Варшаві (спеціалісти, послуги, бізнес)",2937,group,Warsaw,загальний/міський,community chat
https://t.me/ukr_lublin,Українці в Любліні I Ukrainian Lublin,2770,group,Lublin,загальний/міський,classifieds/barakholka
https://t.me/lublin_emigrant,Люблинский эмигрант Чат 🇵🇱,2757,group,Lublin,загальний/міський,community chat (emigrant network)
https://t.me/praca_w_polsce_wakaty,Робота в Польщі | Praca w Polsce,2629,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/UDpracawpolsce,Робота і бізнес в Польщі,2620,channel,Poland-wide,загальний/міський,jobs; /s keyword hits:9
https://t.me/grouptopstaff,Top-Staff | Робота в Польщі,2385,group,Poland-wide,загальний/міський,jobs (agency)
https://t.me/uainfoeu,Українці в Європі,2345,channel,Poland-wide,загальний/міський,"""Українці в Європі"" channel"
https://t.me/vmoutsourcing,PRACA W POLSCE/РОБОТА В ПОЛЬШЕ/ПРАЦЯ В ПОЛЬЩІ by VM OUTSOURCING🇵🇱🇺🇦CHAT,2313,group,Poland-wide,загальний/міський,jobs
https://t.me/bus_panda,Объявление Щецин,2044,group,Szczecin,загальний/міський,classifieds/barakholka
https://t.me/krakow_wr,✨ Работа в Кракове • Kraków • Польша,2034,channel,Krakow,загальний/міський,jobs
https://t.me/robotavkatowice,Робота в Катовіце | Работа в Катовице | Praca w Katowice | Вакансії,1824,group,Katowice,загальний/міський,"jobs, UA audience"
https://t.me/olsztyn_dlya_sv,Польща Ольштин для Своїх,1799,group,Olsztyn,загальний/міський,community chat (dlya svoih network)
https://t.me/home_torun,Аренда жилья Торунь,1786,channel,Torun,загальний/міський,housing/rent
https://t.me/karta_pobytupl,КАРТА ПОБЫТУ | ГРАЖДАНСТВО ПОЛЬШИ,1778,channel,Poland-wide,загальний/міський,help/legalization
https://t.me/profit4you_job,Profit4You вакансии работа в Польше,1752,group,Poland-wide,загальний/міський,jobs
https://t.me/home_koszalin,Аренда жилья Кошалин,1741,channel,Koszalin,загальний/міський,housing/rent
https://t.me/tmrobotaua,Оголошення / Объявления Робота / Допомога Українцям Франція - Чехія - Італія Іспанія - Німеччина - Польща,1719,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/ukraineinzabrze,🇺🇦 УКРАЇНЦІ В ЗАБЖЕ (ZABRZE),1710,group,Zabrze,загальний/міський,main UA chat of Zabrze
https://t.me/home_kalisz,Аренда жилья Калиш,1645,channel,Kalisz,загальний/міський,housing/rent
https://t.me/home_Olsztyn,Аренда жилья Ольштын,1564,channel,Olsztyn,загальний/міський,housing
https://t.me/realestate3000,Grand Real Estate <4.000 zł Аренда квартир Варшава,1532,channel,Warszawa,загальний/міський,housing/rent
https://t.me/warsawabaraholka,Варшава | Барахолка | Услуги,1483,group,Warszawa,загальний/міський,classifieds/barakholka
https://t.me/dopomogaukraini,🇺🇦Україна - Польща🇵🇱,1430,group,Poland-wide,загальний/міський,community chat
https://t.me/chaty_world,💬Чаты Польши и Мира🌐,1416,group,Poland-wide,загальний/міський,hub group of city-chat network
https://t.me/polska_legal,Помощь Польша 🇵🇱,1381,channel,Poland-wide,загальний/міський,legalization/info; /s keyword hits:2
https://t.me/poland_lublin,Украинцы в Люблине 🇵🇱🇺🇦,1304,group,Lublin,загальний/міський,community chat
https://t.me/prelovedbookswarszawa,Книжная барахолка Польша / продажа книг и обмен книгами,1297,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/udachny_wroclaw_news,Удачный Вроцлав 👑 Wrocław NEWS🆕🇵🇱,1251,channel,Wrocław,загальний/міський,RU news channel; 7 tutor/Polish-language keyword hits in recent posts
https://t.me/back2workpl,Робота в Польщі | Работа в Польше | Work in Poland,1238,group,Poland-wide,загальний/міський,jobs
https://t.me/polshac,ПОЛЬША Чат Объявления|Аренда,1225,group,Poland-wide,загальний/міський,housing/rent
https://t.me/home_zabrze,Аренда жилья Забже,1200,channel,Katowice/Silesia,загальний/міський,housing/rent
https://t.me/vmeste_poland,Вместе – Польша,1188,group,Poland-wide,загальний/міський,community chat
https://t.me/glovopl,Glovo PL 🇵🇱,1159,channel,Poland-wide,загальний/міський,jobs (Glovo couriers)
https://t.me/ua24pl,Українці в Польщі,1099,group,Poland-wide,загальний/міський,community chat
https://t.me/home_chorzow,Аренда жилья Хожув,1071,channel,Katowice/Silesia,загальний/міський,housing/rent
https://t.me/home_walbrzych,Аренда жилья Валбжих,1068,channel,Walbrzych,загальний/міський,housing/rent
https://t.me/+WZonl3RTSiQxMDRi,Чат Краков / Czat Kraków,1057,group,Kraków,загальний/міський,bilingual city chat (invite link)
https://t.me/pruszcz,Все свои Прущ|Pruszcz Gdański,1006,1006,group,загальний/міський,Pruszcz Gdański | family-heavy suburb chat
https://t.me/komunikatorpl,KOMUNIKATORPL | Poland Real Estate | Expats | UA 🇺🇦 EN 🇬🇧 PL 🇵🇱,978,channel,Poland-wide,загальний/міський,housing
https://t.me/uaplhelp,🇵🇱Украинские беженцы в Польше,847,group,Poland-wide,загальний/міський,help/legalization
https://t.me/ukrainians_in_lodz,"Українці у Лодзі (спеціалісти, послуги, бізнес)",844,group,Lodz,загальний/міський,community (specialists/services network)
https://t.me/ukraz,Українці-Разом! Обговорення,826,group,Poland-wide,загальний/міський,chat of ukrazom.org NGO
https://t.me/uawarszawa,Українці Варшави,802,group,Warszawa,загальний/міський,Ukrainian-only adaptation chat for newcomers
https://t.me/poland_ab,Польша работа,796,group,Poland-wide,загальний/міський,jobs
https://t.me/belaruskrakow,Беларусы ў Кракаве - Беларусы в Кракове,785,channel,Krakow,загальний/міський,community chat (Belarusians in Krakow)
https://t.me/dopomoga_ua_pl,УКРАИНЦЫ В ВАРШАВЕ,753,group,Warszawa,загальний/міський,community chat
https://t.me/krakow_praca_dorywcza,Smok News | Новости Краков,730,group,Krakow,загальний/міський,news
https://t.me/avtorynokpl,АвтоБазар Польша - Купить | Продать | Обменять автомобиль | Варшава,722,group,Warszawa,загальний/міський,auto classifieds
https://t.me/rentcarwarsaw,"Аренда, Продажа Авто в Польше",706,group,Warszawa,загальний/міський,auto classifieds
https://t.me/polska_ogloszenie,Варшава Подскажите,698,channel,Warsaw,загальний/міський,classifieds/barakholka
https://t.me/warsawczat,Варшава Чат,671,group,Warszawa,загальний/міський,general city chat
https://t.me/warszawukrainian,Українці 🇺🇦 у Варшаві 🇵🇱 |Warszaw чат,668,669,group,загальний/міський,Warsaw | community chat
https://t.me/help_for_ukr,🇺🇦SWOЇ• УКРАЇНЦІ Варшава🇵🇱,662,group,Warsaw,загальний/міський,community chat
https://t.me/moj_goleniow_pl,Польща Мій Голенюв 🇵🇱Всі свої 🇺🇦,644,group,Goleniow,загальний/міський,community chat (Vsi Svoi network)
https://t.me/ukrainiansinslupsk,"🇺🇦 Ukrainians in Slupsk Українці в Слупську, Устка та околиця 🇺🇦",623,623,group,загальний/міський,Słupsk/Ustka | local Ukrainian community chat
https://t.me/robotavwroclawie,Робота у Вроцлаві | Работа во Вроцлаве | Praca we Wrocławiu | Вакансії,617,group,Wroclaw,загальний/міський,jobs
https://t.me/typicalwarsaw,Типова Варшава | Typical Warsaw,603,603,channel,загальний/міський,Warszawa | city channel for UA/RU/BY residents
https://t.me/krakiw_ua,Краків Оголошення 📣,596,group,Kraków,загальний/міський,UA classifieds
https://t.me/w_polsce_praca,Робота в Польші 🇺🇦🇵🇱 [. ЧАТ. ],595,group,Poland-wide,загальний/міський,jobs
https://t.me/prodamlegnica,"Legnica (sprzedam,oddam)",595,group,Legnica,загальний/міський,classifieds/barakholka
https://t.me/home_bytom,Аренда жилья Бытом,572,channel,Katowice/Silesia,загальний/міський,housing/rent
https://t.me/rabota_v_polshe_hg,Работа в Польше Вроцлав\Варшава\Гданьск\Гдыня\Щецин\Гожув\Люблин\Катовице,566,group,Warszawa,загальний/міський,jobs
https://t.me/ukrainciwlodziuwl,Українці в Лодзі,537,group,Łódź,загальний/міський,community org chat
https://t.me/pomoshchwarszawa,ПОМОЩЬ в ВАРШАВЕ УКРАИНЦАМ,537,group,Warsaw,загальний/міський,community chat
https://t.me/ukraincy_olsztyna,Українці в Ольштині та на Вармії і Мазурах 🇺🇦🇵🇱,522,group,Olsztyn/Warmia-Mazury,загальний/міський,"UA community, covers Elbląg region"
https://t.me/+yxTfDTqn_71iZWI6,Чат Катовице / Czat Katowice,521,group,Katowice,загальний/міський,bilingual chat (invite link)
https://t.me/bialystok_events,Афиша Белосток | Афіша Бiлосток | Wydarzenia Białystok,513,513,channel,загальний/міський,Białystok | events for PL/BY/UA/RU audience
https://t.me/bezhentsyukrainy,Беженцы Украины | Помощь Украинцам в Польше,509,group,Poland-wide,загальний/міський,news/afisha
https://t.me/helpinguapl,Помощь мигрантам в Польше,503,channel,Poland-wide,загальний/міський,legalization/adaptation info for Ukrainians
https://t.me/robota_poland_ua,🇵🇱ŚWIAT PRACY🌐СВІТ ПРАЦІ 🇺🇦,474,group,Poland-wide,загальний/міський,jobs
https://t.me/robota_v_polska,Чорна Біла Робота в Польщі,469,group,Poland-wide,загальний/міський,jobs
https://t.me/binkrk,Пологі у Польщі/ Роды в Польше 2022,436,channel,Kraków,загальний/міський,moms channel run by Kraków doula
https://t.me/afishawarsaw,Афиша Мира: Польша (Варшава+),400,channel,Warszawa,загальний/міський,events channel
https://t.me/+q6YzwJZQdVExY2Zi,Наші в Любліні (invite),399,channel,Lublin,загальний/міський,"UA channel, auto-approve join"
https://t.me/krakowadds,Оголошення Краків,399,group,Kraków,загальний/міський,classifieds
https://t.me/home_wloclawek,Аренда жилья Влоцлавек,379,channel,Wloclawek,загальний/міський,housing/rent
https://t.me/home_elblag,Аренда жилья Эльблонг,364,channel,Elblag,загальний/міський,housing/rent
https://t.me/barachlo_plchat,БАРАХОЛКА | PL🇵🇱,363,group,Poland-wide,загальний/міський,classifieds/barakholka
https://t.me/blagoda_work_in_poland,Робота в Польщі,362,group,Poland-wide,загальний/міський,jobs
https://t.me/uachenstohowa,Допомога Українцям в Ченстахова,357,group,Częstochowa,загальний/міський,UA help chat
https://t.me/rabota_v_polshe_eu,Работа в Польше,356,group,Poland-wide,загальний/міський,jobs
https://t.me/jobpl_group,|Робота в Польщі|ВАКАНСІЇ|,339,ВАКАНСІЇ,,загальний/міський,339 | group | Poland-wide | jobs
https://t.me/ymbatka_warszawa_chat,чат #МЫВаршава Warszawa,336,group,Warszawa,загальний/міський,Belarusian community chat
https://t.me/ukrainci_v_krakovi,"Українці в Кракові 🇺🇦🔱 Чат, розмови про все в Кракові і не тільки (без спаму!)",331,group,Krakow,загальний/міський,community chat
https://t.me/gdansk_chat_pl,Гданьск Польша Чат,311,group,Gdansk,загальний/міський,community chat
https://t.me/inbreslau,Беларусы Вроцлава,303,channel,Wrocław,загальний/міський,Belarusians of Wroclaw info channel
https://t.me/kartapobytu,🇵🇱 Карта Побиту | Громадянство Польщі | Сталий Побит,302,channel,Poland-wide,загальний/міський,legalization/info; /s keyword hits:6
https://t.me/perewireno2,Чат Перевірено🇺🇦 Українцями🇺🇦Робота в 🇵🇱Польщі 🇵🇱,296,group,Poland-wide,загальний/міський,jobs
https://t.me/torunbydgoszczBy,Беларусы Куява-Памор'я,281,channel,Toruń/Bydgoszcz,загальний/міський,BY diaspora channel; evid:1
https://t.me/infoLODZby,INFO - Лодзь - Вольнае сэрца | LODZ -Volnaje Serca | Беларусы і Українці,266,266,channel,загальний/міський,Łódź | BY+UA community channel
https://t.me/safe_children_ukraine,Варшава / Польща / Марш Матерів 🇺🇦🇵🇱,261,group,Warszawa,загальний/міський,UA mothers community (grew from Mothers March)
https://t.me/growpersonal,ПОМОЩ УКРАИНЦАМ В Быдгоще,258,group,Bydgoszcz,загальний/міський,help chat for Ukrainians
https://t.me/jezykpolska,🇵🇱 ЧАТ Польська мова/Język polski,252,group,Poland-wide,загальний/міський,Polish-language learners — self-selected audience
https://t.me/praca_polska_eu,Робота Польша,244,group,Poland-wide,загальний/міський,jobs
https://t.me/arenda_avto_poland,АРЕНДА АВТО | ПОЛЬША,241,group,Poland-wide,загальний/міський,auto rental
https://t.me/perevozki_poznan_poland_germ_eu,Перевозки Познань/Польша/ЕС,224,channel,Poznan,загальний/міський,transport/parcels
https://t.me/perevozki_melitopolya,Перевозки Мелитополь Варшава Украина,222,group,Warszawa,загальний/міський,transport/parcels
https://t.me/pol_info,POL-Info,211,211,group,загальний/міський,Poland-wide | UA info chat
https://t.me/beauty_gdansk,Beauty Україна в Гданьску (Польща),208,group,Gdańsk,загальний/міський,female/mom-adjacent audience
https://t.me/online_polsha,Польша | Online,202,channel,Poland-wide,загальний/міський,community chat
https://t.me/localwarsaw,Варшава Афиша | Events Warsaw,200,200,channel,загальний/міський,Warszawa | events channel
https://t.me/podrabotkamoskov,Работа и вакансии в Польше,194,channel,Poland-wide,загальний/міський,"jobs (renamed chat, title=Poland jobs)"
https://t.me/Wroclawork_ua,Вроцлав Работа | Польша 🇵🇱,189,channel,Wrocław,загальний/міський,UA jobs channel (small)
https://t.me/uk_poland,🇵🇱 УКРАЇНЦІ в ПОЛЬЩІ 🇺🇦,176,group,Poland-wide,загальний/міський,news/afisha
https://t.me/robota1234567,Робота в Польщі для українців 🙃 Безкоштовно,173,group,Poland-wide,загальний/міський,jobs
https://t.me/combat1992,Белорусы в Польше,170,group,Poland-wide,загальний/міський,community chat (Belarusians in Poland)
https://t.me/samochodpolska,Samochody do 5k Польша авторынок,167,channel,Poland-wide,загальний/міський,auto classifieds
https://t.me/busplannerchat,"Чат BusPlanner - Міжнародні автобусні перевезення Україна 🔛 Європа ( Італія ,Німеччина ,Польща, Іспанія,Чехія,Естонія,Болгарія )",165,group,Poland-wide,загальний/міський,transport/parcels
https://t.me/UAinPoznan,UA_IN_POZNAN чатік,160,group,Poznań,загальний/міський,chat companion of UAinPoznan channel
https://t.me/ukranian_in_jawozno,Українці в Явожно і Польщі 🇺🇦🇺🇦🇺🇦,151,group,Jaworzno,загальний/міський,UA city chat
https://t.me/euromaidan_warszawa,Новини від Euromaidan-Warszawa,149,channel,Warszawa,загальний/міський,UA diaspora organization in Warsaw
https://t.me/belmovatrojmiasto,razMova - Беларускамоўны нэтворкінг у Гданьску,146,group,Trojmiasto,загальний/міський,community (Belarusian-language network)
https://t.me/olsztyn4ua,ОЛЬШТИН + Мазури для УКРАЇНЦІВ Olsztyn Mazury Ukraińcy,146,group,Olsztyn,загальний/міський,community chat (4ua network)
https://t.me/PZN_Poland_Poznan,PZN Poznań,140,channel,Poznan,загальний/міський,news/afisha
https://t.me/uz_polsha_official,𝗨𝘇_𝗣𝗼𝗹𝘀𝗵𝗮_𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,136,group,Poland-wide,загальний/міський,community (RU-speaking Uzbeks in PL)
https://t.me/punktwsparciawarszawa,Punkt wsparcia Warszawa Chat,130,group,Warsaw,загальний/міський,community chat
https://t.me/autohybridpl,AUTOHYBRID - аренда авто для такси Варшава Warszawa,127,group,Warszawa,загальний/міський,auto rental for taxi/Uber drivers
https://t.me/polauto,Польша работа Автосфера🇵🇱,127,group,Poland-wide,загальний/міський,jobs (auto sphere)
https://t.me/uainpol,Українці у польщі | Украинцы в польше,126,group,Poland-wide,загальний/міський,community chat
https://t.me/crimeabus,УКРАИНА КРЫМ ПОЛЬША пассажирские перевозки,122,group,Poland-wide,загальний/міський,transport/parcels
https://t.me/pytinxyulo21,Украинцы в Польше❤️☺️,122,group,Poland-wide,загальний/міський,community chat
https://t.me/olhafortunapracapl,🇵🇱Робота в Польщі 🇵🇱,121,group,Poland-wide,загальний/міський,jobs
https://t.me/partyzanka_ua,Partyzanka - Беженцы Украины. Польша.,117,group,Poland-wide,загальний/міський,community chat
https://t.me/ukraincy_w_polsce_ua_pl,Українці в Польщі / Ukraińcy w Polsce,117,group,Poland-wide,загальний/міський,news/afisha
https://t.me/studentpolska,За Бугром Польша,116,channel,Poland-wide,загальний/міський,community chat
https://t.me/youthkielce,🟠 МОЛОДЁЖКА Kielce 🟠,109,channel,Kielce,загальний/міський,small youth channel
https://t.me/naszabydgoszcz,Наш Быдгощ | Nasza Bydgoszcz,108,108,channel,загальний/міський,Bydgoszcz | local info channel; evid:1
https://t.me/praca_trojmiasto,Aktualności Trójmiasto: Гданьск/Гдыня/Сопот Гданськ/Гдиня Польша/Польща,95,channel,Trojmiasto,загальний/міський,afisha/events
https://t.me/rent_car_krakow,VoTar Group аренда авто Краков. Оренда,95,group,Krakow,загальний/міський,auto rental
https://t.me/ukraintsiwpolshchi,Українці в Польщі/допомога/реклама🇺🇦,92,channel,Poland-wide,загальний/міський,tiny help/ads channel
https://t.me/ukraine_in_poland,Польша | Польща | Варшава,91,channel,Warszawa,загальний/міський,community chat
https://t.me/jaworpolandukraina,Jawor Польша Украинцы,86,group,Jawor,загальний/міський,community chat
https://t.me/tg_ukrain_chat,Украинцы в Польше,81,group,Poland-wide,загальний/міський,community chat
